"practice","period","total_scripts","total_quantity","high_dose_scripts","high_dose_quantity","hd_script_ratio","hd_quantity_ratio"
"A81011",2018-03-01,17,584,0,0,0,0
"A81011",2018-04-01,15,436,0,0,0,0
"A81011",2018-05-01,17,608,0,0,0,0
"A81011",2018-06-01,17,496,0,0,0,0
"A81011",2018-08-01,17,536,0,0,0,0
"A81011",2018-09-01,21,632,0,0,0,0
"A81011",2018-10-01,16,480,0,0,0,0
"A81011",2018-11-01,16,388,0,0,0,0
"A81012",2018-01-01,11,156,0,0,0,0
"A81012",2018-02-01,11,176,0,0,0,0
"A81012",2018-03-01,13,212,0,0,0,0
"A81012",2018-04-01,10,164,0,0,0,0
"A81012",2018-05-01,13,216,0,0,0,0
"A81012",2018-06-01,11,184,0,0,0,0
"A81012",2018-08-01,10,172,0,0,0,0
"A81012",2018-09-01,12,220,0,0,0,0
"A81012",2018-10-01,13,228,0,0,0,0
"A81012",2018-11-01,12,204,0,0,0,0
"A81013",2018-01-01,15,372,0,0,0,0
"A81013",2018-02-01,13,324,0,0,0,0
"A81013",2018-03-01,18,484,0,0,0,0
"A81013",2018-04-01,19,508,0,0,0,0
"A81013",2018-05-01,14,348,0,0,0,0
"A81013",2018-06-01,21,532,0,0,0,0
"A81013",2018-08-01,19,488,0,0,0,0
"A81013",2018-09-01,18,476,0,0,0,0
"A81013",2018-10-01,18,488,0,0,0,0
"A81013",2018-11-01,15,372,0,0,0,0
"A81014",2018-01-01,8,188,0,0,0,0
"A81014",2018-02-01,6,140,0,0,0,0
"A81014",2018-03-01,6,140,0,0,0,0
"A81014",2018-04-01,6,140,0,0,0,0
"A81014",2018-05-01,11,268,0,0,0,0
"A81014",2018-06-01,9,200,0,0,0,0
"A81014",2018-08-01,7,152,0,0,0,0
"A81014",2018-09-01,9,184,0,0,0,0
"A81014",2018-10-01,6,136,0,0,0,0
"A81014",2018-11-01,7,156,0,0,0,0
"A81015",2018-01-01,14,337,0,0,0,0
"A81015",2018-02-01,10,211,0,0,0,0
"A81015",2018-03-01,13,324,0,0,0,0
"A81015",2018-04-01,13,292,0,0,0,0
"A81015",2018-05-01,2,33,0,0,0,0
"A81016",2018-01-01,23,664,0,0,0,0
"A81016",2018-02-01,17,508,0,0,0,0
"A81016",2018-03-01,23,584,0,0,0,0
"A81016",2018-04-01,14,384,1,8,0.0714285714285714,0.0208333333333333
"A81016",2018-05-01,23,636,0,0,0,0
"A81016",2018-06-01,20,604,0,0,0,0
"A81016",2018-08-01,24,606,0,0,0,0
"A81016",2018-09-01,20,528,0,0,0,0
"A81016",2018-10-01,24,600,0,0,0,0
"A81016",2018-11-01,24,660,0,0,0,0
"A81017",2018-01-01,42,1110,2,8,0.0476190476190476,0.00720720720720721
"A81017",2018-02-01,41,816,2,2,0.0487804878048781,0.00245098039215686
"A81017",2018-03-01,44,1055,3,3,0.0681818181818182,0.0028436018957346
"A81017",2018-04-01,37,762,4,4,0.108108108108108,0.005249343832021
"A81017",2018-05-01,45,1085,3,3,0.0666666666666667,0.00276497695852535
"A81017",2018-06-01,42,1050,0,0,0,0
"A81017",2018-08-01,41,1074,0,0,0,0
"A81017",2018-09-01,41,1048,0,0,0,0
"A81017",2018-10-01,41,1035,0,0,0,0
"A81017",2018-11-01,38,922,0,0,0,0
"A81018",2018-01-01,27,620,0,0,0,0
"A81018",2018-02-01,18,436,0,0,0,0
"A81018",2018-03-01,28,672,0,0,0,0
"A81018",2018-04-01,28,656,0,0,0,0
"A81018",2018-05-01,27,660,0,0,0,0
"A81018",2018-06-01,26,688,0,0,0,0
"A81018",2018-08-01,24,558,0,0,0,0
"A81018",2018-09-01,25,646,0,0,0,0
"A81018",2018-10-01,31,732,0,0,0,0
"A81018",2018-11-01,23,478,0,0,0,0
"A81019",2018-01-01,23,754,0,0,0,0
"A81019",2018-02-01,16,480,0,0,0,0
"A81019",2018-03-01,16,504,0,0,0,0
"A81019",2018-04-01,20,596,0,0,0,0
"A81019",2018-05-01,16,496,0,0,0,0
"A81019",2018-06-01,20,652,0,0,0,0
"A81019",2018-08-01,21,660,0,0,0,0
"A81019",2018-09-01,22,708,0,0,0,0
"A81019",2018-10-01,23,700,0,0,0,0
"A81019",2018-11-01,23,664,0,0,0,0
"A81020",2018-01-01,18,442,0,0,0,0
"A81020",2018-02-01,16,460,0,0,0,0
"A81020",2018-03-01,16,422,0,0,0,0
"A81020",2018-04-01,17,488,0,0,0,0
"A81020",2018-05-01,18,444,0,0,0,0
"A81020",2018-06-01,17,444,0,0,0,0
"A81020",2018-08-01,16,400,0,0,0,0
"A81020",2018-09-01,17,408,0,0,0,0
"A81020",2018-10-01,13,312,0,0,0,0
"A81020",2018-11-01,16,392,0,0,0,0
"A81021",2018-01-01,32,784,0,0,0,0
"A81021",2018-02-01,31,808,0,0,0,0
"A81021",2018-03-01,38,1004,0,0,0,0
"A81021",2018-04-01,33,872,0,0,0,0
"A81021",2018-05-01,32,848,0,0,0,0
"A81021",2018-06-01,33,844,0,0,0,0
"A81021",2018-08-01,31,848,0,0,0,0
"A81021",2018-09-01,36,948,0,0,0,0
"A81021",2018-10-01,33,860,0,0,0,0
"A81021",2018-11-01,29,724,0,0,0,0
"A81022",2018-01-01,23,604,0,0,0,0
"A81022",2018-02-01,23,660,0,0,0,0
"A81022",2018-03-01,28,736,0,0,0,0
"A81022",2018-04-01,23,604,0,0,0,0
"A81022",2018-05-01,23,628,0,0,0,0
"A81022",2018-06-01,24,624,0,0,0,0
"A81022",2018-08-01,25,708,0,0,0,0
"A81022",2018-09-01,21,508,0,0,0,0
"A81022",2018-10-01,28,720,0,0,0,0
"A81022",2018-11-01,24,564,0,0,0,0
"A81023",2018-01-01,12,688,0,0,0,0
"A81023",2018-02-01,7,296,0,0,0,0
"A81023",2018-03-01,9,448,0,0,0,0
"A81023",2018-04-01,8,252,0,0,0,0
"A81023",2018-05-01,10,684,0,0,0,0
"A81023",2018-06-01,10,463,0,0,0,0
"A81023",2018-08-01,13,532,2,8,0.153846153846154,0.0150375939849624
"A81023",2018-09-01,8,160,1,4,0.125,0.025
"A81023",2018-10-01,10,324,1,4,0.1,0.0123456790123457
"A81023",2018-11-01,7,220,1,4,0.142857142857143,0.0181818181818182
"A81025",2018-01-01,11,220,0,0,0,0
"A81025",2018-02-01,14,212,0,0,0,0
"A81025",2018-03-01,9,168,0,0,0,0
"A81025",2018-04-01,16,280,0,0,0,0
"A81025",2018-05-01,9,220,0,0,0,0
"A81025",2018-06-01,11,284,0,0,0,0
"A81025",2018-08-01,9,204,0,0,0,0
"A81025",2018-09-01,8,212,0,0,0,0
"A81025",2018-10-01,12,288,0,0,0,0
"A81025",2018-11-01,6,164,0,0,0,0
"A81026",2018-01-01,23,584,0,0,0,0
"A81026",2018-02-01,15,392,0,0,0,0
"A81026",2018-03-01,28,812,0,0,0,0
"A81026",2018-04-01,21,556,0,0,0,0
"A81026",2018-05-01,29,864,0,0,0,0
"A81026",2018-06-01,27,708,0,0,0,0
"A81026",2018-08-01,32,834,0,0,0,0
"A81026",2018-09-01,34,794,0,0,0,0
"A81026",2018-10-01,28,688,0,0,0,0
"A81026",2018-11-01,35,886,0,0,0,0
"A81027",2018-01-01,28,828,0,0,0,0
"A81027",2018-02-01,27,800,2,16,0.0740740740740741,0.02
"A81027",2018-03-01,26,716,0,0,0,0
"A81027",2018-04-01,24,768,0,0,0,0
"A81027",2018-05-01,27,784,0,0,0,0
"A81027",2018-06-01,27,880,0,0,0,0
"A81027",2018-08-01,24,796,0,0,0,0
"A81027",2018-09-01,30,886,0,0,0,0
"A81027",2018-10-01,26,816,0,0,0,0
"A81027",2018-11-01,35,1088,0,0,0,0
"A81029",2018-01-01,17,344,0,0,0,0
"A81029",2018-02-01,11,340,0,0,0,0
"A81029",2018-03-01,14,392,0,0,0,0
"A81029",2018-04-01,15,422,0,0,0,0
"A81029",2018-05-01,11,268,0,0,0,0
"A81029",2018-06-01,8,200,0,0,0,0
"A81029",2018-08-01,10,234,0,0,0,0
"A81029",2018-09-01,12,342,0,0,0,0
"A81029",2018-10-01,11,258,0,0,0,0
"A81029",2018-11-01,13,354,0,0,0,0
"A81030",2018-01-01,14,596,0,0,0,0
"A81030",2018-02-01,14,616,0,0,0,0
"A81030",2018-03-01,17,628,0,0,0,0
"A81030",2018-04-01,20,676,0,0,0,0
"A81030",2018-05-01,22,916,0,0,0,0
"A81030",2018-06-01,14,576,0,0,0,0
"A81030",2018-08-01,20,704,0,0,0,0
"A81030",2018-09-01,23,912,0,0,0,0
"A81030",2018-10-01,22,860,0,0,0,0
"A81030",2018-11-01,19,752,0,0,0,0
"A81031",2018-01-01,15,528,0,0,0,0
"A81031",2018-02-01,7,374,0,0,0,0
"A81031",2018-03-01,14,584,0,0,0,0
"A81031",2018-04-01,11,460,0,0,0,0
"A81031",2018-05-01,14,632,0,0,0,0
"A81031",2018-06-01,13,460,0,0,0,0
"A81031",2018-08-01,12,574,0,0,0,0
"A81031",2018-09-01,12,480,0,0,0,0
"A81031",2018-10-01,15,632,0,0,0,0
"A81031",2018-11-01,15,536,0,0,0,0
"A81032",2018-01-01,32,781,0,0,0,0
"A81032",2018-02-01,27,630,0,0,0,0
"A81032",2018-03-01,35,917,0,0,0,0
"A81032",2018-04-01,33,789,0,0,0,0
"A81032",2018-05-01,30,709,0,0,0,0
"A81032",2018-06-01,32,816,0,0,0,0
"A81032",2018-08-01,34,813,0,0,0,0
"A81032",2018-09-01,24,593,0,0,0,0
"A81032",2018-10-01,35,869,0,0,0,0
"A81032",2018-11-01,24,600,0,0,0,0
"A81033",2018-01-01,8,172,1,4,0.125,0.0232558139534884
"A81033",2018-02-01,8,188,0,0,0,0
"A81034",2018-01-01,35,846,1,8,0.0285714285714286,0.00945626477541371
"A81034",2018-02-01,39,970,2,16,0.0512820512820513,0.0164948453608247
"A81034",2018-03-01,41,1015,2,16,0.0487804878048781,0.0157635467980296
"A81034",2018-04-01,32,738,2,16,0.0625,0.021680216802168
"A81034",2018-05-01,45,1130,2,16,0.0444444444444444,0.0141592920353982
"A81034",2018-06-01,40,1126,2,24,0.05,0.0213143872113677
"A81034",2018-08-01,40,1072,0,0,0,0
"A81034",2018-09-01,31,788,0,0,0,0
"A81034",2018-10-01,41,1140,0,0,0,0
"A81034",2018-11-01,37,984,0,0,0,0
"A81035",2018-01-01,9,224,0,0,0,0
"A81035",2018-02-01,13,344,0,0,0,0
"A81035",2018-03-01,8,208,0,0,0,0
"A81035",2018-04-01,12,328,0,0,0,0
"A81035",2018-05-01,10,280,0,0,0,0
"A81035",2018-06-01,11,272,0,0,0,0
"A81035",2018-08-01,8,191,0,0,0,0
"A81035",2018-09-01,12,368,0,0,0,0
"A81035",2018-10-01,11,288,0,0,0,0
"A81035",2018-11-01,12,304,0,0,0,0
"A81036",2018-01-01,41,1042,0,0,0,0
"A81036",2018-02-01,36,932,0,0,0,0
"A81036",2018-03-01,54,1199,0,0,0,0
"A81036",2018-04-01,41,949,0,0,0,0
"A81036",2018-05-01,45,1072,0,0,0,0
"A81036",2018-06-01,35,828,0,0,0,0
"A81036",2018-08-01,41,986,0,0,0,0
"A81036",2018-09-01,37,840,0,0,0,0
"A81036",2018-10-01,51,1143,0,0,0,0
"A81036",2018-11-01,49,1204,0,0,0,0
"A81037",2018-01-01,15,324,0,0,0,0
"A81037",2018-02-01,15,368,0,0,0,0
"A81037",2018-03-01,15,372,0,0,0,0
"A81037",2018-04-01,14,308,0,0,0,0
"A81037",2018-05-01,16,412,0,0,0,0
"A81037",2018-06-01,18,404,0,0,0,0
"A81037",2018-08-01,15,352,0,0,0,0
"A81037",2018-09-01,16,372,0,0,0,0
"A81037",2018-10-01,16,332,0,0,0,0
"A81037",2018-11-01,13,316,0,0,0,0
"A81038",2018-01-01,6,168,0,0,0,0
"A81038",2018-02-01,4,112,0,0,0,0
"A81038",2018-03-01,5,144,0,0,0,0
"A81038",2018-04-01,4,120,0,0,0,0
"A81038",2018-05-01,9,248,0,0,0,0
"A81038",2018-06-01,1,24,0,0,0,0
"A81038",2018-08-01,3,88,0,0,0,0
"A81038",2018-09-01,4,112,0,0,0,0
"A81038",2018-10-01,6,168,0,0,0,0
"A81038",2018-11-01,5,152,0,0,0,0
"A81039",2018-01-01,30,672,3,16,0.1,0.0238095238095238
"A81039",2018-02-01,28,696,0,0,0,0
"A81039",2018-03-01,29,660,2,12,0.0689655172413793,0.0181818181818182
"A81039",2018-04-01,27,640,2,12,0.0740740740740741,0.01875
"A81039",2018-05-01,30,692,1,8,0.0333333333333333,0.0115606936416185
"A81039",2018-06-01,29,668,0,0,0,0
"A81039",2018-08-01,26,648,0,0,0,0
"A81039",2018-09-01,26,636,0,0,0,0
"A81039",2018-10-01,31,740,0,0,0,0
"A81039",2018-11-01,28,700,0,0,0,0
"A81040",2018-01-01,17,424,0,0,0,0
"A81040",2018-02-01,17,456,0,0,0,0
"A81040",2018-03-01,13,336,0,0,0,0
"A81040",2018-04-01,18,520,0,0,0,0
"A81040",2018-05-01,16,408,0,0,0,0
"A81040",2018-06-01,18,364,0,0,0,0
"A81040",2018-08-01,13,348,0,0,0,0
"A81040",2018-09-01,16,336,0,0,0,0
"A81040",2018-10-01,19,496,0,0,0,0
"A81040",2018-11-01,13,312,0,0,0,0
"A81041",2018-01-01,21,604,0,0,0,0
"A81041",2018-02-01,10,252,0,0,0,0
"A81041",2018-03-01,18,512,0,0,0,0
"A81041",2018-04-01,14,376,0,0,0,0
"A81041",2018-05-01,19,572,0,0,0,0
"A81041",2018-06-01,18,488,0,0,0,0
"A81041",2018-08-01,16,444,0,0,0,0
"A81041",2018-09-01,20,536,0,0,0,0
"A81041",2018-10-01,11,340,0,0,0,0
"A81041",2018-11-01,19,568,0,0,0,0
"A81042",2018-01-01,27,724,0,0,0,0
"A81042",2018-02-01,24,656,0,0,0,0
"A81042",2018-03-01,27,716,0,0,0,0
"A81042",2018-04-01,22,564,0,0,0,0
"A81042",2018-05-01,32,847,0,0,0,0
"A81042",2018-06-01,41,1152,2,120,0.0487804878048781,0.104166666666667
"A81042",2018-08-01,48,1222,1,8,0.0208333333333333,0.00654664484451719
"A81042",2018-09-01,42,1131,0,0,0,0
"A81042",2018-10-01,36,968,0,0,0,0
"A81042",2018-11-01,40,1045,0,0,0,0
"A81043",2018-01-01,25,636,0,0,0,0
"A81043",2018-02-01,23,548,0,0,0,0
"A81043",2018-03-01,28,696,0,0,0,0
"A81043",2018-04-01,28,696,0,0,0,0
"A81043",2018-05-01,28,716,0,0,0,0
"A81043",2018-06-01,26,656,0,0,0,0
"A81043",2018-08-01,29,676,0,0,0,0
"A81043",2018-09-01,30,748,0,0,0,0
"A81043",2018-10-01,24,592,0,0,0,0
"A81043",2018-11-01,26,624,0,0,0,0
"A81044",2018-01-01,42,1017,0,0,0,0
"A81044",2018-02-01,44,1315,0,0,0,0
"A81044",2018-03-01,25,648,0,0,0,0
"A81044",2018-04-01,26,840,0,0,0,0
"A81044",2018-05-01,34,1056,0,0,0,0
"A81044",2018-06-01,26,692,0,0,0,0
"A81044",2018-08-01,32,924,0,0,0,0
"A81044",2018-09-01,27,772,0,0,0,0
"A81044",2018-10-01,33,988,0,0,0,0
"A81044",2018-11-01,39,1136,0,0,0,0
"A81045",2018-01-01,17,448,0,0,0,0
"A81045",2018-02-01,15,410,0,0,0,0
"A81045",2018-03-01,11,274,0,0,0,0
"A81045",2018-04-01,18,498,0,0,0,0
"A81045",2018-05-01,17,466,0,0,0,0
"A81045",2018-06-01,23,612,0,0,0,0
"A81045",2018-08-01,22,588,0,0,0,0
"A81045",2018-09-01,19,504,0,0,0,0
"A81045",2018-10-01,20,508,0,0,0,0
"A81045",2018-11-01,15,380,0,0,0,0
"A81046",2018-01-01,25,696,1,8,0.04,0.0114942528735632
"A81046",2018-02-01,21,552,0,0,0,0
"A81046",2018-03-01,26,668,0,0,0,0
"A81046",2018-04-01,25,664,0,0,0,0
"A81046",2018-05-01,25,720,0,0,0,0
"A81046",2018-06-01,20,556,0,0,0,0
"A81046",2018-08-01,25,688,0,0,0,0
"A81046",2018-09-01,23,616,0,0,0,0
"A81046",2018-10-01,25,708,0,0,0,0
"A81046",2018-11-01,17,508,0,0,0,0
"A81048",2018-01-01,23,628,1,8,0.0434782608695652,0.0127388535031847
"A81048",2018-02-01,18,500,0,0,0,0
"A81048",2018-03-01,19,536,0,0,0,0
"A81048",2018-04-01,18,480,0,0,0,0
"A81048",2018-05-01,25,664,0,0,0,0
"A81048",2018-06-01,19,496,0,0,0,0
"A81048",2018-08-01,21,548,0,0,0,0
"A81048",2018-09-01,20,460,0,0,0,0
"A81048",2018-10-01,23,608,0,0,0,0
"A81048",2018-11-01,23,588,0,0,0,0
"A81049",2018-01-01,6,164,0,0,0,0
"A81049",2018-02-01,10,260,0,0,0,0
"A81049",2018-03-01,12,296,0,0,0,0
"A81049",2018-04-01,9,252,0,0,0,0
"A81049",2018-05-01,8,220,0,0,0,0
"A81049",2018-06-01,9,260,0,0,0,0
"A81049",2018-08-01,9,268,0,0,0,0
"A81049",2018-09-01,9,268,0,0,0,0
"A81049",2018-10-01,9,276,0,0,0,0
"A81049",2018-11-01,8,236,0,0,0,0
"A81051",2018-01-01,14,452,0,0,0,0
"A81051",2018-02-01,13,480,0,0,0,0
"A81051",2018-03-01,7,240,0,0,0,0
"A81051",2018-04-01,13,384,0,0,0,0
"A81051",2018-05-01,11,352,0,0,0,0
"A81051",2018-06-01,12,424,0,0,0,0
"A81051",2018-08-01,10,311,0,0,0,0
"A81051",2018-09-01,6,176,0,0,0,0
"A81051",2018-10-01,13,452,0,0,0,0
"A81051",2018-11-01,10,236,0,0,0,0
"A81052",2018-01-01,17,420,0,0,0,0
"A81052",2018-02-01,21,594,0,0,0,0
"A81052",2018-03-01,20,668,1,112,0.05,0.167664670658683
"A81052",2018-04-01,17,456,0,0,0,0
"A81052",2018-05-01,21,644,0,0,0,0
"A81052",2018-06-01,21,648,0,0,0,0
"A81052",2018-08-01,19,516,0,0,0,0
"A81052",2018-09-01,16,432,0,0,0,0
"A81052",2018-10-01,20,532,0,0,0,0
"A81052",2018-11-01,25,772,0,0,0,0
"A81053",2018-01-01,24,521,0,0,0,0
"A81053",2018-02-01,14,288,0,0,0,0
"A81053",2018-03-01,18,356,0,0,0,0
"A81053",2018-04-01,17,368,0,0,0,0
"A81053",2018-05-01,14,281,0,0,0,0
"A81053",2018-06-01,16,336,0,0,0,0
"A81053",2018-08-01,17,388,0,0,0,0
"A81053",2018-09-01,21,465,0,0,0,0
"A81053",2018-10-01,18,404,0,0,0,0
"A81053",2018-11-01,21,493,0,0,0,0
"A81054",2018-01-01,25,568,0,0,0,0
"A81054",2018-02-01,19,432,0,0,0,0
"A81054",2018-03-01,19,436,0,0,0,0
"A81054",2018-04-01,22,452,0,0,0,0
"A81054",2018-05-01,24,564,0,0,0,0
"A81054",2018-06-01,21,424,0,0,0,0
"A81054",2018-08-01,19,400,0,0,0,0
"A81054",2018-09-01,20,368,0,0,0,0
"A81054",2018-10-01,24,524,0,0,0,0
"A81054",2018-11-01,20,392,0,0,0,0
"A81056",2018-01-01,2,56,0,0,0,0
"A81056",2018-02-01,2,64,0,0,0,0
"A81056",2018-03-01,1,32,0,0,0,0
"A81056",2018-04-01,1,32,0,0,0,0
"A81056",2018-05-01,3,96,0,0,0,0
"A81056",2018-06-01,1,32,0,0,0,0
"A81056",2018-08-01,1,32,0,0,0,0
"A81056",2018-10-01,1,32,0,0,0,0
"A81056",2018-11-01,1,72,0,0,0,0
"A81057",2018-01-01,16,490,0,0,0,0
"A81057",2018-02-01,15,488,0,0,0,0
"A81057",2018-03-01,14,394,0,0,0,0
"A81057",2018-04-01,18,520,0,0,0,0
"A81057",2018-05-01,18,562,0,0,0,0
"A81057",2018-06-01,18,522,0,0,0,0
"A81057",2018-08-01,19,570,0,0,0,0
"A81057",2018-09-01,22,556,0,0,0,0
"A81057",2018-10-01,17,486,0,0,0,0
"A81057",2018-11-01,15,414,0,0,0,0
"A81058",2018-01-01,14,368,0,0,0,0
"A81058",2018-02-01,18,432,0,0,0,0
"A81058",2018-03-01,18,524,0,0,0,0
"A81058",2018-04-01,17,492,0,0,0,0
"A81058",2018-05-01,15,412,0,0,0,0
"A81058",2018-06-01,19,528,0,0,0,0
"A81058",2018-08-01,18,472,1,8,0.0555555555555556,0.0169491525423729
"A81058",2018-09-01,20,560,0,0,0,0
"A81058",2018-10-01,19,488,1,8,0.0526315789473684,0.0163934426229508
"A81058",2018-11-01,16,420,1,8,0.0625,0.019047619047619
"A81060",2018-01-01,8,152,0,0,0,0
"A81060",2018-02-01,12,240,0,0,0,0
"A81060",2018-03-01,11,280,0,0,0,0
"A81060",2018-04-01,13,304,0,0,0,0
"A81060",2018-05-01,13,400,0,0,0,0
"A81060",2018-06-01,13,376,0,0,0,0
"A81060",2018-08-01,10,280,0,0,0,0
"A81060",2018-09-01,13,316,0,0,0,0
"A81060",2018-10-01,13,360,0,0,0,0
"A81060",2018-11-01,17,436,0,0,0,0
"A81063",2018-01-01,18,486,1,8,0.0555555555555556,0.0164609053497942
"A81063",2018-02-01,15,378,0,0,0,0
"A81063",2018-03-01,16,394,1,8,0.0625,0.0203045685279188
"A81063",2018-04-01,13,306,0,0,0,0
"A81063",2018-05-01,15,356,0,0,0,0
"A81063",2018-06-01,17,352,0,0,0,0
"A81063",2018-08-01,13,302,0,0,0,0
"A81063",2018-09-01,12,304,0,0,0,0
"A81063",2018-10-01,14,358,0,0,0,0
"A81063",2018-11-01,10,246,0,0,0,0
"A81064",2018-01-01,8,200,0,0,0,0
"A81064",2018-02-01,13,344,0,0,0,0
"A81064",2018-03-01,11,320,0,0,0,0
"A81064",2018-04-01,11,284,0,0,0,0
"A81064",2018-05-01,10,272,0,0,0,0
"A81064",2018-06-01,10,264,0,0,0,0
"A81064",2018-08-01,11,312,0,0,0,0
"A81064",2018-09-01,12,328,0,0,0,0
"A81064",2018-10-01,11,296,0,0,0,0
"A81064",2018-11-01,11,296,0,0,0,0
"A81065",2018-01-01,6,160,0,0,0,0
"A81065",2018-02-01,4,112,0,0,0,0
"A81065",2018-03-01,4,112,0,0,0,0
"A81065",2018-04-01,4,112,0,0,0,0
"A81065",2018-05-01,4,112,0,0,0,0
"A81065",2018-06-01,3,88,0,0,0,0
"A81065",2018-08-01,5,128,0,0,0,0
"A81065",2018-09-01,4,104,0,0,0,0
"A81065",2018-10-01,5,136,0,0,0,0
"A81065",2018-11-01,5,136,0,0,0,0
"A81066",2018-01-01,11,304,0,0,0,0
"A81066",2018-02-01,13,360,0,0,0,0
"A81066",2018-03-01,12,344,0,0,0,0
"A81066",2018-04-01,11,288,0,0,0,0
"A81066",2018-05-01,10,280,0,0,0,0
"A81066",2018-06-01,8,208,0,0,0,0
"A81066",2018-08-01,18,458,0,0,0,0
"A81066",2018-09-01,9,240,0,0,0,0
"A81066",2018-10-01,12,344,0,0,0,0
"A81066",2018-11-01,11,280,0,0,0,0
"A81067",2018-01-01,17,572,2,16,0.117647058823529,0.027972027972028
"A81067",2018-02-01,15,404,1,8,0.0666666666666667,0.0198019801980198
"A81067",2018-03-01,16,596,0,0,0,0
"A81067",2018-04-01,15,476,0,0,0,0
"A81067",2018-05-01,16,484,0,0,0,0
"A81067",2018-06-01,15,556,0,0,0,0
"A81067",2018-08-01,18,588,0,0,0,0
"A81067",2018-09-01,13,464,0,0,0,0
"A81067",2018-10-01,17,548,0,0,0,0
"A81067",2018-11-01,11,300,0,0,0,0
"A81070",2018-01-01,9,240,0,0,0,0
"A81070",2018-02-01,5,176,0,0,0,0
"A81070",2018-03-01,9,266,0,0,0,0
"A81070",2018-04-01,2,88,0,0,0,0
"A81070",2018-05-01,9,272,0,0,0,0
"A81070",2018-06-01,8,218,0,0,0,0
"A81070",2018-08-01,12,320,0,0,0,0
"A81070",2018-09-01,12,382,0,0,0,0
"A81070",2018-10-01,8,230,0,0,0,0
"A81070",2018-11-01,11,374,0,0,0,0
"A81602",2018-01-01,4,108,0,0,0,0
"A81602",2018-02-01,3,52,0,0,0,0
"A81602",2018-03-01,4,108,0,0,0,0
